Rank,Username,Submitted,Model Report Link,MA-MCC,MA-MCC std,MA-Accuracy,MA-Accuracy std,MA-Precision,MA-Precision std,MA-Recall,MA-Recall std,MA-F1 Score,MA-F1 Score std,Proprietary Data,Open Code
30,srijitseal,2026-09-08 16:05 UTC,Not submitted,0.3464249457931883,0.0404539556401699,0.7712021857923497,0.0165300552098863,0.3555596368352895,0.0317194267121739,0.6665754365822781,0.0522609644732138,0.4578430355390701,0.0352617680418131,No,No
31,cyp3a4_test,2026-09-22 02:45 UTC,Not submitted,0.3463364362087341,0.0486828345547623,0.8185532786885247,0.0137384002124534,0.4357522006089139,0.0492029300235076,0.5047950429538562,0.0514284979172709,0.4652764068518137,0.0445303398442002,No,No
32,admetchallenger,2026-09-16 06:25 UTC,Not submitted,0.3437056416902366,0.0457490512093693,0.8002937158469946,0.0158708683897448,0.3916518189139319,0.0371723651865478,0.5755660815765865,0.0556363790631561,0.4585939629747064,0.0397459452983938,No,No
33,lac,2026-09-21 00:00 UTC,Not submitted,0.3435581320853201,0.0601127148600114,0.8390341530054646,0.0132974676077968,0.5339325394890801,0.0868716563853326,0.4044120312985366,0.0481221506899708,0.4301532675110783,0.0546741904586384,No,No
34,GNandini10,2026-09-21 06:24 UTC,Not submitted,0.3424868495796907,0.0395666670186474,0.7862909836065574,0.0149813027983575,0.4283566490240634,0.0310416965434463,0.544792911967695,0.0554329982910446,0.4315727966977274,0.0334817373348879,No,No
35,drp-to-admed,2026-08-20 07:54 UTC,Not submitted,0.3407428384290566,0.0536893995512531,0.8348524590163935,0.0137716219963415,0.5109685975081305,0.0569837976441474,0.3782993331427751,0.0538247378204548,0.4223673162611263,0.0495942923712955,No,No
36,cyp3a4_test2,2026-09-22 03:11 UTC,Not submitted,0.3396438464897064,0.0494696624314865,0.8157882513661202,0.0136822692520195,0.4316823916711064,0.0494546353799832,0.4994431582347722,0.0523813329501256,0.4606375948413347,0.0452301058832288,No,No
37,C_CYPher-cypextmmg-B2regaux,2026-09-22 16:33 UTC,Not submitted,0.338387913120264,0.044034165808109,0.7988989071038252,0.015227418911971,0.4041535967099924,0.0353924568111588,0.5495066029427176,0.0567202515496536,0.4456532606336612,0.0382889981401051,No,No
38,deoxys,2026-09-13 16:09 UTC,Not submitted,0.3368385486113142,0.0559162287177079,0.8461297814207651,0.0135473845866561,0.5061786032377703,0.0673844587677666,0.3723079213524179,0.0498933012540705,0.424540919712531,0.0519091568815501,No,No
39,claw_test,2026-09-21 09:08 UTC,Not submitted,0.3358204940852481,0.0511720456705279,0.8220040983606557,0.0142998740552437,0.4460147683090462,0.0514058114979119,0.4615260213005902,0.0529536208992959,0.4501715758827834,0.0462934818315293,No,No
40,rxbox1,2026-09-18 17:54 UTC,Not submitted,0.334954971067268,0.04816129887737,0.8240273224043716,0.01419217977212,0.4184901369228887,0.0535582090288199,0.4984929711258107,0.0460236360812655,0.4440295141275984,0.043967506928597,No,No
41,6jhb4,2026-09-21 07:00 UTC,Not submitted,0.3337814360273809,0.0494346267947796,0.8170355191256831,0.0139719908924224,0.4209444690150972,0.0456123512184903,0.4925622361463661,0.055351860421087,0.4492721245460971,0.0445607526438207,No,No
42,whippoorwill,2026-09-16 07:20 UTC,Not submitted,0.3333034120524324,0.0523146384954054,0.8434234972677596,0.0137440262677219,0.4581965537624355,0.0559612104045394,0.4136783095422782,0.0496802825515409,0.4318448206555745,0.0476084903931525,No,No
43,1809,2026-09-18 06:45 UTC,Not submitted,0.3318842384607938,0.0508636878709067,0.8103292349726776,0.0145122820886398,0.4196640800799382,0.04843726430073,0.5053797319772515,0.0542529058853397,0.4561836294036649,0.0458930873946503,No,No
44,21kd1a05e0,2026-09-22 04:33 UTC,Not submitted,0.3313827751723075,0.0555061082106764,0.8540655737704919,0.0131990384476199,0.5603576389855914,0.0710183914648284,0.2973762328683171,0.047244823598731,0.3854752679860423,0.0525664629838322,No,No
45,avaliev,2026-08-18 19:01 UTC,Not submitted,0.3305667492456345,0.0552616504866234,0.8347732240437159,0.0131731159631183,0.4720382423282528,0.0753585419941846,0.4289901251355945,0.0451036513286177,0.4297951193094266,0.0498978330466462,No,No
46,Biomni-TusoAI,2026-09-12 20:09 UTC,Not submitted,0.3266690714675376,0.0428074509968631,0.7867418032786885,0.0151466267534865,0.3602874877885479,0.0352746350706968,0.593845513580799,0.0508202314940914,0.4461690921205428,0.0379836606169487,No,No
47,peraputeja,2026-09-22 04:33 UTC,Not submitted,0.3252928188969042,0.0489406243574079,0.8445587431693989,0.0132498153407108,0.4705353516050631,0.051054192904877,0.3771321442008739,0.0486739985088507,0.4157463088368339,0.0454496614343307,No,No
48,TabICL-baseline,2026-08-13 04:21 UTC,Not submitted,0.3249669223859113,0.0532914803482751,0.844629781420765,0.0136379788467785,0.4780753264489766,0.0567250121581389,0.3689834537931485,0.0511385113830374,0.4134617062487112,0.0491258159543127,No,No
49,Swathi007,2026-09-18 11:27 UTC,Not submitted,0.3246569329791253,0.0519389938776668,0.8322021857923497,0.0141443006026062,0.4629554203278684,0.0537787710895907,0.4022152405283954,0.0517835787455965,0.4269634530514117,0.0472944056887072,No,No
50,hfger,2026-09-17 02:45 UTC,Not submitted,0.3240321059917167,0.0508663495299998,0.8376734972677595,0.0129999977909812,0.4641125285584287,0.0595804359213901,0.4011978719171762,0.0483743712178792,0.4253626033794309,0.04706000232393,No,No
51,jack,2026-09-16 04:48 UTC,Not submitted,0.3220836868786706,0.0497325273725703,0.8332377049180328,0.0137880020408328,0.4253178196373494,0.0515240581496936,0.4421619368782889,0.0479609004040258,0.4302350768813187,0.0445975817466767,No,No
52,furtivepeony,2026-09-22 03:18 UTC,Not submitted,0.3207390683908413,0.0416097611349673,0.7851270491803278,0.0144008610644718,0.3791943293573266,0.0336077769365999,0.5624615164096675,0.0532402001187457,0.4364449435081875,0.0359772253449196,No,No
53,N283T,2026-09-18 09:45 UTC,Not submitted,0.3198195734251695,0.0418983086667729,0.8350177595628415,0.0137206073547517,0.396950213385318,0.039327186998661,0.4602843042087609,0.0435017889891745,0.4245876777343399,0.0374943454981653,No,No
