Rank,Username,Submitted,Model Report Link,MA-MCC,MA-MCC std,MA-Accuracy,MA-Accuracy std,MA-Precision,MA-Precision std,MA-Recall,MA-Recall std,MA-F1 Score,MA-F1 Score std,Proprietary Data,Open Code
54,hfger,2026-09-17 02:45 UTC,Not submitted,0.3240321059917167,0.0508663495299998,0.8376734972677595,0.0129999977909812,0.4641125285584287,0.0595804359213901,0.4011978719171762,0.0483743712178792,0.4253626033794309,0.04706000232393,No,No
55,jack,2026-09-16 04:48 UTC,Not submitted,0.3220836868786706,0.0497325273725703,0.8332377049180328,0.0137880020408328,0.4253178196373494,0.0515240581496936,0.4421619368782889,0.0479609004040258,0.4302350768813187,0.0445975817466767,No,No
56,z,2026-09-23 12:30 UTC,Not submitted,0.3201250340292663,0.0350963907762856,0.7265997267759562,0.0166635950847023,0.3437281413019625,0.0256529589030938,0.6831283510734762,0.0519449972756704,0.4294946505127353,0.0287104735256703,No,No
57,C_CYPher-graphattn-B2regaux,2026-09-14 12:45 UTC,Not submitted,0.319549726223038,0.0452221881937899,0.790516393442623,0.0156238907954606,0.391272576540138,0.0386330444635032,0.5397499383260912,0.0549927269991739,0.4376954111584008,0.0400874916187956,No,No
58,sleepq2,2026-09-17 06:03 UTC,Not submitted,0.317996777129143,0.0412959461322508,0.7704713114754098,0.0151949474554281,0.3503855454660938,0.0315916256715425,0.612335273454284,0.0533387734589123,0.4382123580251322,0.0351920879544791,No,No
59,cypster,2026-09-11 01:21 UTC,LightGBM ECFP4+RDKit multi-seed TDI v2,0.316466252821144,0.0523928625946325,0.7977581967213115,0.0146380359060343,0.3984929849749066,0.0528984212952705,0.522194610512527,0.0519749989453997,0.4441798298113747,0.0480627990623904,No,No
60,ADMETForge,2026-09-06 03:56 UTC,Not submitted,0.316364811491076,0.0483453143683761,0.8137472677595629,0.0146454433228062,0.4039011449600276,0.042602605982723,0.4769513877243002,0.0535340081189436,0.4309182650578781,0.0427646684474177,No,No
61,Rguava,2026-09-18 08:10 UTC,Not submitted,0.3148803367855216,0.0479649848754683,0.8121926229508196,0.0141736548162958,0.4375626963521221,0.0455371024016588,0.4358318117999218,0.0544616940326058,0.4139300012265268,0.0431123892235048,No,No
62,sleepq1,2026-09-17 06:03 UTC,Not submitted,0.3147314639327531,0.0477684044435013,0.8199590163934427,0.0141335641240368,0.4091506788803041,0.0428918180240484,0.4587428115140624,0.0527520259945924,0.4287693038113984,0.0425469934566245,No,No
63,vaishu53,2026-09-23 06:10 UTC,Not submitted,0.3122714349179727,0.0486901072067286,0.8309945355191256,0.0144344482545077,0.4341294490720054,0.043883016762846,0.4061980655013392,0.0524966195664181,0.4141729615422865,0.0433942666907838,No,No
64,Ta1k1,2026-08-25 00:11 UTC,Not submitted,0.3107101310780106,0.0384822410667279,0.7468838797814208,0.0164531636509322,0.3356853201471783,0.028379534409589,0.6523685452161422,0.0518448313068328,0.4321423720316175,0.0322536641962637,No,No
65,5E0,2026-09-10 10:59 UTC,Not submitted,0.3081437565117371,0.0507648469441819,0.8005478142076503,0.0150438474257583,0.3957664709562835,0.0536469306284526,0.5039575893124041,0.0488649378394441,0.4339043291606937,0.0462424529728661,No,No
66,Autopilot (fully autonomous agent entry),2026-09-16 02:01 UTC,Not submitted,0.3060313515201169,0.0408730150058919,0.7464398907103825,0.016100737723468,0.3202546290317204,0.0325162764711095,0.6491137120570896,0.0498009986621621,0.4273827421538482,0.0366000857762996,No,No
67,Ligand Pro,2026-08-31 14:54 UTC,Not submitted,0.3053489608067852,0.0418323694180588,0.7563524590163935,0.016770827332124,0.339525109204883,0.0312912370854696,0.6232016682667404,0.0538997387555385,0.4316043203030153,0.0352606577303488,No,No
68,sweepfinal,2026-09-17 07:45 UTC,Not submitted,0.2954228902683242,0.0452167053338789,0.785318306010929,0.0155962668699758,0.359495143291683,0.0354760904587418,0.5287797959838864,0.0551886508406712,0.42134259378134,0.0386470522161,No,No
69,testTDI,2026-09-18 06:44 UTC,Not submitted,0.2933899002744314,0.0394348927176459,0.7558101092896174,0.0160635787309008,0.3339017012038172,0.0285340895594052,0.5943235157609248,0.0540480345005169,0.4174544140305448,0.0324215897812927,No,No
70,dftchemist,2026-09-23 18:02 UTC,v11,0.2932002137109857,0.0387215941082912,0.7286311475409837,0.0176592867309134,0.3219212507801219,0.0285313214616759,0.6615811654013627,0.0509444347671939,0.4208189964004034,0.0328148540125633,Yes,No
71,XGB-baseline,2026-08-13 04:21 UTC,Not submitted,0.2885226225218548,0.0510236838161026,0.8404631147540983,0.0137502797597997,0.4960300322784966,0.0609836094200812,0.2836291465251093,0.0452254528479205,0.3558154850625863,0.0475805088641912,No,No
72,LGBM-baseline,2026-08-13 04:21 UTC,Not submitted,0.2880680298687573,0.046492419652519,0.8390710382513661,0.0132017964329727,0.4796733018203726,0.0515822587713453,0.2980134219373351,0.0450906824486164,0.3608036046095148,0.044034488634141,No,No
73,jyamvwa,2026-09-23 16:11 UTC,https://github.com/Jackson-yamvwa/DrugDiscovery-Py/blob/main/openadmet-cyp-challenge/METHOD_REPORT.md,0.2874782354249294,0.0394578971035349,0.7259904371584699,0.0171874353978878,0.3161683629181878,0.0279222771480627,0.6568580197324634,0.0538993691286174,0.4165965156363168,0.0323673990910669,No,Yes
74,Scigantic,2026-09-04 17:03 UTC,Not submitted,0.2872924418553177,0.0455116971338063,0.7899112021857924,0.014877379878879,0.3470131251909121,0.0426617071841289,0.5223296754414825,0.0479687993718262,0.4123058007143207,0.0414303035741372,No,No
75,suneelbvs,2026-09-11 15:47 UTC,Not submitted,0.2851332001622463,0.0393685707937241,0.7453825136612022,0.0161489820107086,0.3373976014552196,0.0287803513510912,0.5893782441939222,0.0541951281287713,0.4097600949907804,0.032548465149656,No,No
76,pump-again,2026-09-23 17:45 UTC,Not submitted,0.2848901253505173,0.0391494936516979,0.7534890710382514,0.0150827949663819,0.341131562501456,0.0292295366329528,0.5710111978289288,0.0540636307530232,0.4097127328391281,0.0327909552132883,No,No
77,newcyp_1,2026-09-20 03:34 UTC,Not submitted,0.2841947731874054,0.0506969073070755,0.8405136612021857,0.0134030750667203,0.4251081157244033,0.0665310329503566,0.3624845031812941,0.0410710591724781,0.3798489469372714,0.0456109136298532,No,No
78,Lizard Wizard Gizzard,2026-09-21 11:03 UTC,https://github.com/doctawho42/CYPChallenge/blob/main/METHOD.md,0.2835645304853464,0.0345666494453502,0.6618907103825137,0.0189916874817743,0.3005835380629298,0.0232558757703226,0.7317787052318521,0.0501824403863571,0.4039803038748986,0.0270291023159779,No,Yes
79,HGN38,2026-09-14 18:25 UTC,Not submitted,0.280260105922432,0.0395651940560529,0.7465423497267759,0.0157801057642719,0.3375390725527153,0.0293870675360697,0.5822359700875465,0.0550151495079239,0.4071307800631148,0.0332361622705068,No,No
80,12345,2026-09-11 10:36 UTC,Not submitted,0.2798077207835913,0.0471843566139475,0.7204112021857924,0.0162879616443041,0.3370065203290355,0.0414947163477665,0.6363832257173769,0.050824748566662,0.4340286687689637,0.0422189305592938,No,No
81,chromingcyts,2026-09-08 01:09 UTC,Not submitted,0.2796637348219619,0.0405056943089547,0.7317964480874317,0.0169411663409046,0.355969829335105,0.0303952523570225,0.5674868289263578,0.0554847299285419,0.3926949291832921,0.0324636141036781,No,No
82,your_user_alias,2026-08-24 01:29 UTC,Official LightGBM baseline,0.278848125945739,0.0548625415844776,0.8433101092896175,0.0133722868627629,0.5200156030012608,0.0739995083854528,0.2461291224353578,0.0439027270611764,0.3310947810028342,0.0511482561835137,No,No
83,Chocolatine,2026-08-22 12:16 UTC,Not submitted,0.2784533319839481,0.0333084728120986,0.664983606557377,0.0180853593562876,0.2956224344744184,0.0225760522794948,0.7221979722180818,0.0494132262905068,0.4011746626761134,0.026096199886365,No,No
84,Safi,2026-09-22 07:26 UTC,Not submitted,0.2778897061091569,0.0420769142033817,0.7406489071038252,0.0168392764877887,0.3155456790077716,0.0311061169537431,0.6137073468069012,0.0530414924838263,0.4136324568141448,0.0357025688083416,No,No
85,Woong,2026-09-15 10:52 UTC,Not submitted,0.2774424772733762,0.0377166367035929,0.730165300546448,0.0165559177333233,0.3121745312728726,0.0277374638217285,0.6274052084944608,0.0508969454790054,0.4086749166424175,0.0318008318992395,No,No
86,qxw138,2026-09-22 09:22 UTC,Not submitted,0.2771993955218563,0.0327126555201794,0.6399959016393443,0.018040436511848,0.2974698428454235,0.0217900933610572,0.7466611537657653,0.0493687902962766,0.3990609569875256,0.0249590350152844,No,No
87,3a4N_TDI,2026-09-23 08:39 UTC,Not submitted,0.2757288661145768,0.0472028026475294,0.8207431693989071,0.0132301625423287,0.4147012089979772,0.0511757913526798,0.3721118648690154,0.0473491141531308,0.389502587162977,0.0436184394824379,No,No
88,bioai96,2026-08-23 11:01 UTC,Not submitted,0.2755473638533221,0.0388154090346839,0.7112035519125682,0.0178558045702879,0.3048128085842784,0.0259699435780661,0.6560996524497128,0.0541326206802772,0.4049831701461909,0.0308215812580311,No,No
